id,movie,rank
3292173922,The Empire Strikes Back,2
3292173922,Return of the Jedi,3
3292167131,The Phantom Menace,5
3292167131,Attack of the Clones,6
3292167131,Revenge of the Sith,4
3292167131,A New Hope,2
3292167131,The Empire Strikes Back,1
3292167131,Return of the Jedi,3
3292162057,The Phantom Menace,6
3292162057,Attack of the Clones,5
3292162057,Revenge of the Sith,4
3292162057,A New Hope,2
3292162057,The Empire Strikes Back,1
3292162057,Return of the Jedi,3
3292156614,The Phantom Menace,4
3292156614,Attack of the Clones,6
3292156614,Revenge of the Sith,5
3292156614,A New Hope,2
3292156614,The Empire Strikes Back,1
3292156614,Return of the Jedi,3
3292148570,The Phantom Menace,6
3292148570,Attack of the Clones,4
3292148570,Revenge of the Sith,5
3292148570,A New Hope,3
3292148570,The Empire Strikes Back,1
3292148570,Return of the Jedi,2
3292144665,The Phantom Menace,6
3292144665,Attack of the Clones,4
3292144665,Revenge of the Sith,5
3292144665,A New Hope,3
3292144665,The Empire Strikes Back,1
3292144665,Return of the Jedi,2
3292131636,The Phantom Menace,5
3292131636,Attack of the Clones,6
3292131636,Revenge of the Sith,2
3292131636,A New Hope,3
3292131636,The Empire Strikes Back,1
3292131636,Return of the Jedi,4
3292120160,The Phantom Menace,4
3292120160,Attack of the Clones,5
3292120160,Revenge of the Sith,6
3292120160,A New Hope,2
3292120160,The Empire Strikes Back,1
3292120160,Return of the Jedi,3
3292103680,The Phantom Menace,6
3292103680,Attack of the Clones,5
3292103680,Revenge of the Sith,4
3292103680,A New Hope,2
3292103680,The Empire Strikes Back,1
3292103680,Return of the Jedi,3
3292050153,The Phantom Menace,1
3292050153,Attack of the Clones,2
3292050153,Revenge of the Sith,3
3292050153,A New Hope,4
3292050153,The Empire Strikes Back,5
3292050153,Return of the Jedi,6
3292041365,The Phantom Menace,6
3292041365,Attack of the Clones,5
3292041365,Revenge of the Sith,4
3292041365,A New Hope,2
3292041365,The Empire Strikes Back,1
3292041365,Return of the Jedi,3
3292033243,The Phantom Menace,6
3292033243,Attack of the Clones,1
3292033243,Revenge of the Sith,5
3292033243,A New Hope,3
3292033243,The Empire Strikes Back,4
3292033243,Return of the Jedi,2
3292031637,The Phantom Menace,6
3292031637,Attack of the Clones,5
3292031637,Revenge of the Sith,2
3292031637,A New Hope,4
3292031637,The Empire Strikes Back,3
3292031637,Return of the Jedi,1
3292008762,The Phantom Menace,5
3292008762,Attack of the Clones,6
3292008762,Revenge of the Sith,4
3292008762,A New Hope,2
3292008762,The Empire Strikes Back,1
3292008762,Return of the Jedi,3
3291992352,The Phantom Menace,4
3291992352,Attack of the Clones,5
3291992352,Revenge of the Sith,3
3291992352,A New Hope,6
3291992352,The Empire Strikes Back,2
3291992352,Return of the Jedi,1
3291945498,The Phantom Menace,6
3291945498,Attack of the Clones,4
3291945498,Revenge of the Sith,5
3291945498,A New Hope,2
3291945498,The Empire Strikes Back,1
3291945498,Return of the Jedi,3
3291940517,The Phantom Menace,6
3291940517,Attack of the Clones,5
3291940517,Revenge of the Sith,4
3291940517,A New Hope,3
3291940517,The Empire Strikes Back,2
3291940517,Return of the Jedi,1
3291871486,The Phantom Menace,5
3291871486,Attack of the Clones,6
3291871486,Revenge of the Sith,2
3291871486,A New Hope,4
3291871486,The Empire Strikes Back,1
3291871486,Return of the Jedi,3
3291778150,The Phantom Menace,4
3291778150,Attack of the Clones,5
3291778150,Revenge of the Sith,6
3291778150,A New Hope,1
3291778150,The Empire Strikes Back,2
3291778150,Return of the Jedi,3
3291766314,The Phantom Menace,4
3291766314,Attack of the Clones,5
3291766314,Revenge of the Sith,6
3291766314,A New Hope,2
3291766314,The Empire Strikes Back,3
3291766314,Return of the Jedi,1
3291762799,The Phantom Menace,3
3291762799,Attack of the Clones,4
3291762799,Revenge of the Sith,5
3291762799,A New Hope,6
3291762799,The Empire Strikes Back,1
3291762799,Return of the Jedi,2
3291701619,The Phantom Menace,6
3291701619,Attack of the Clones,5
3291701619,Revenge of the Sith,2
3291701619,A New Hope,3
3291701619,The Empire Strikes Back,4
3291701619,Return of the Jedi,1
3291684768,The Phantom Menace,6
